Area,Postal code prefix
Downtown,M6A
Downtown,M6B
Downtown,M6C
Downtown,M6E
Downtown,M6G
Downtown,M6H
Downtown,M6L
Downtown,M6M
Downtown,M6N
Downtown,M6P
North York,M2H
North York,M2J
North York,M2K
North York,M2L
North York,M2M
North York,M2N
North York,M2P
North York,M2R
North York,M3A
North York,M3B
North York,M3C
North York,M3H
Etobicoke,M6S
Etobicoke,M8V
Etobicoke,M8W
Etobicoke,M8X
Etobicoke,M9A
Etobicoke,M9B
Etobicoke,M8Y
Etobicoke,M8Z
Etobicoke,M9C
Etobicoke,M9L
Etobicoke,M9M
Etobicoke,M9N
Etobicoke,M9P
Etobicoke,M9R
Etobicoke,M9V
Etobicoke,M9W
Downtown,M4G
Downtown,M4H
Downtown,M4N
Downtown,M4P
Downtown,M4R
Downtown,M5P
Downtown,M4S
Downtown,M4T
Downtown,M4V
Downtown,M5M
Downtown,M5N
Downtown,M4C
Downtown,M4E
Downtown,M4J
Downtown,M4K
Downtown,M4L
Downtown,M4K
Downtown,M4L
Downtown,M4M
Scarborough,M1B
Scarborough,M1S
Scarborough,M1T
Scarborough,M1W
Scarborough,M1V
Scarborough,M1X
Scarborough,M1J
Scarborough,M1K
Scarborough,M1L
Scarborough,M1M
Scarborough,M1N
Scarborough,M1P
Scarborough,M1R
Scarborough,M4A
Scarborough,M4B
Scarborough,M1C
Etobicoke,M1E
Scarborough,M1G
Scarborough,M1H
